book_index,family_id,home,slug,space_claim,claim_kind,evidence,time,coordinates,relations,support,boundary,source,reason,limit
"B024","SPF036","dynamica","ordinary-differential-flow","intrinsic-curvature curve integration","variant","shown","continuous evolution parameter t:=s, the arc length","[t]","the coupled ODEs for x(t), y(t), and heading theta(t)","one continuous trajectory","initial point and heading; optional finite arc-length horizon","ref/A-New-Kind-of-Science/CHAPTERS/08-Implications-for-Everyday-Systems/08-Implications-for-Everyday-Systems.md:L613-L617;ref/A-New-Kind-of-Science/BACK-MATTER/NOTES/08-Implications-for-Everyday-Systems-Notes/08-Implications-for-Everyday-Systems-Notes.md:L252-L271","The planar coordinates and heading are three values of a t-only ODE state; the drawn curve does not create t+2D Space.","The parameter is arc length rather than physical time, but it is still the explicit continuous evolution coordinate."
"B024","SPF036","dynamica","ordinary-differential-flow","discrete numerical time stepping","encoding","stated","discrete sampled t approximates the continuous trajectory","[t]","iterated-map approximation to the ODE flow","finite sampled history","chosen numerical horizon and step size","ref/A-New-Kind-of-Science/BACK-MATTER/NOTES/04-Systems-Based-on-Numbers-Notes/04-Systems-Based-on-Numbers-Notes.md:L901-L905","The Book explicitly warns that computer simulation replaces continuous time by discrete steps and thereby makes the system essentially an iterated map.","It is not a native discrete Space claim for the ODE family."
"B024","SPF036","dynamica","ordinary-differential-flow","surface or higher-dimensional curvature reconstruction","excluded","stated","not an ODE t-only evolution","would require spatial surface coordinates in addition to t","principal-curvature and PDE relations","field support","problem-specific PDE boundary","ref/A-New-Kind-of-Science/BACK-MATTER/NOTES/08-Implications-for-Everyday-Systems-Notes/08-Implications-for-Everyday-Systems-Notes.md:L275-L276","The Book says reconstructing surfaces from curvature requires solving partial differential equations.","This belongs to a spatial-field relation rather than extending the ODE Space."
"B025","SPF004","media","event-provenance-causal-network","causal-poset event Space with time given by directed reachability","native","shown","time is the explicit partial order e<e' induced by causation; no scalar global clock is native","[t_event], one coordinate per update event","direct producer-dependency edges; reachability supplies later-than order","monotonically growing event set; previously created events and edges are immutable","no spatial boundary; unresolved outgoing provenance may remain open","ref/A-New-Kind-of-Science/CHAPTERS/09-Fundamental-Physics/09-Fundamental-Physics.md:L655-L707;ref/A-New-Kind-of-Science/BACK-MATTER/NOTES/09-Fundamental-Physics-Notes/09-Fundamental-Physics-Notes.md:L341-L355","Nodes are update events, edges carry causal provenance, and the resulting graph is a DAG or poset. Event time is therefore explicit but only partially ordered.","Underlying mobile-automaton step number is provenance metadata, not the native perceived-time coordinate."
"B025","SPF004","media","event-provenance-causal-network","same causal-event Space extracted from generalized substitution or network-rewrite events","variant","shown","event-driven partial-order time; each emitted event extends an immutable DAG","[t_event]","produced-element identities connect each event to later consumers","growing event and edge support","open outputs may have no later consumer","ref/A-New-Kind-of-Science/BACK-MATTER/NOTES/09-Fundamental-Physics-Notes/09-Fundamental-Physics-Notes.md:L378-L384;ref/A-New-Kind-of-Science/CHAPTERS/09-Fundamental-Physics/09-Fundamental-Physics.md:L951-L963","The Book constructs causal networks from uniquely numbered generalized-substitution events and from network-evolution updates, not only from mobile automata.","The source process may have string or graph coordinates, but those substrate coordinates do not become axes of the extracted event Space."
"B025","SPF004","media","event-provenance-causal-network","event Space extracted from a two-dimensional mobile-automaton substrate","variant","stated","event partial-order time remains native","[t_event]","causal edges may be sparse or absent when the active cell does not return","growing event set","none","ref/A-New-Kind-of-Science/BACK-MATTER/NOTES/09-Fundamental-Physics-Notes/09-Fundamental-Physics-Notes.md:L357-L360","The Book explicitly discusses causal connections for 2D mobile automata.","The substrate is t+2D, but the extraction result remains an event DAG rather than [t,x,y]."
"B025","SPF004","media","event-provenance-causal-network","generic provenance-trace closure","variant","proved","event partial-order time; adding an event never changes an earlier event","[t_event]","for every read, connect the last producer to the new consuming event","any finite or countably generated trace with stable event and produced-value identities","open initial provenance and unresolved final consumers are allowed","ref/A-New-Kind-of-Science/CHAPTERS/09-Fundamental-Physics/09-Fundamental-Physics.md:L663-L685;ref/A-New-Kind-of-Science/BACK-MATTER/NOTES/09-Fundamental-Physics-Notes/09-Fundamental-Physics-Notes.md:L347-L355,L378-L384","The construction depends only on ordered events, unique produced identities, and last-producer reads. Every edge points from an existing producer to a newly added consumer, proving acyclicity independently of substrate geometry.","The closure does not infer causation from observations lacking read or producer provenance."
"B025","SPF004","media","event-provenance-causal-network","scalar t+1D page layout of the causal graph","encoding","stated","row number is a chosen topological layout, not native time","[row,column]","drawing proximity only","rendered finite window","page frame","ref/A-New-Kind-of-Science/CHAPTERS/09-Fundamental-Physics/09-Fundamental-Physics.md:L675-L711","The Book says time derives from network properties, that update numbering does not correspond directly to it, and that edges may point up in a particular layout without creating cycles.","No canonical scalar t or spatial x is established."
"B026","SPF028","substitua","local-graph-rewrite","discrete generic graph Space with independently addressable nodes and connections","native","shown","discrete t; each rule application creates a complete immutable graph at t+1 and copies every untouched node and edge","[t,kind,id], with kind in {node,edge}","incidence, adjacency, cluster membership, and dangling-interface attachment","dynamic finite or locally finite graph; nodes and edges may be created or removed","replacement interface is the preserved dangling-connection boundary","ref/A-New-Kind-of-Science/CHAPTERS/09-Fundamental-Physics/09-Fundamental-Physics.md:L901-L967;ref/A-New-Kind-of-Science/BACK-MATTER/NOTES/09-Fundamental-Physics-Notes/09-Fundamental-Physics-Notes.md:L495-L534","Rules replace connected clusters while preserving their connections to the rest of the network; labels are identity coordinates and layout is irrelevant.","The native Space is relational graph topology, not a Cartesian rank."
"B026","SPF028","substitua","local-graph-rewrite","planarity-preserving and unrestricted graph variants","variant","stated","discrete immutable graph slices","[t,kind,id]","planarity is a global property of the incidence relation","dynamic graph support","dangling-interface arity; optional planarity invariant","ref/A-New-Kind-of-Science/CHAPTERS/09-Fundamental-Physics/09-Fundamental-Physics.md:L901-L913;ref/A-New-Kind-of-Science/BACK-MATTER/NOTES/09-Fundamental-Physics-Notes/09-Fundamental-Physics-Notes.md:L530-L534","The Book exhibits planar-preserving rules and separately counts replacements that do and do not preserve planarity.","Planarity does not imply t+2D; the Book explicitly says planar networks need not have dimension two."
"B026","SPF028","substitua","local-graph-rewrite","single-active-node graph rewrite","variant","shown","discrete t; the active node and rewritten neighborhood appear in a new complete graph slice","[t,kind,id]","graph incidence plus one active-node role and movement along an incident connection","dynamic graph support","local replacement interface","ref/A-New-Kind-of-Science/BACK-MATTER/NOTES/05-Two-Dimensions-and-Beyond-Notes/05-Two-Dimensions-and-Beyond-Notes.md:L453-L457;ref/A-New-Kind-of-Science/BACK-MATTER/NOTES/09-Fundamental-Physics-Notes/09-Fundamental-Physics-Notes.md:L594-L600","A single active node rewrites its local cluster and moves through graph connections.","Activity is an Alphabet role at a node, not an additional coordinate axis."
"B026","SPF028","substitua","local-graph-rewrite","directed graph-rewrite Space","variant","stated","discrete immutable graph slices","[t,kind,id]","directed incidence and inward or outward dangling ports","dynamic directed graph support","directed replacement interface","ref/A-New-Kind-of-Science/BACK-MATTER/NOTES/09-Fundamental-Physics-Notes/09-Fundamental-Physics-Notes.md:L594-L602","The Book explicitly adds directionality to connections and describes directed nonoverlapping clusters.","Direction is a relation on edges, not a new dimension."
"B026","SPF028","substitua","local-graph-rewrite","2D or 3D coordinates inferred from graph drawings","encoding","stated","rendering time or stacked update views only","page or embedding coordinates","layout relation is external to graph incidence","rendered finite graph","page frame","ref/A-New-Kind-of-Science/CHAPTERS/09-Fundamental-Physics/09-Fundamental-Physics.md:L927-L939;ref/A-New-Kind-of-Science/BACK-MATTER/NOTES/09-Fundamental-Physics-Notes/09-Fundamental-Physics-Notes.md:L494-L494,L531-L534","The Book says node layout is arbitrary; its 3D pictures merely stack successive states, and graph effective dimension can be noninteger or unbounded.","Neither drawing dimension nor effective growth dimension is a Cartesian Space axis."
"B027","SPF012","media","maximal-run-record-transduction","one-dimensional ordered run transduction","native","shown","discrete scan or codec time t; each t+1 slice preserves the complete input and completed output prefix","[t,stream,i], with stream tagging input or output","total order, maximal-equal-run relation, and self-delimiting record boundaries","finite or countable input sequence; variable-length output support","left and right sequence ends","ref/A-New-Kind-of-Science/CHAPTERS/10-Processes-of-Perception-and-Analysis/10-Processes-of-Perception-and-Analysis.md:L163-L187;ref/A-New-Kind-of-Science/BACK-MATTER/NOTES/10-Processes-of-Perception-and-Analysis-Notes/10-Processes-of-Perception-and-Analysis-Notes.md:L83-L85","Run boundaries are maximal extents in a total order and records are emitted in that order.","This closure requires a linear order; it does not automatically define runs on arbitrary graphs."
"B027","SPF012","media","maximal-run-record-transduction","two-dimensional rectangle-run transduction","variant","stated","discrete scan time with complete immutable input and output snapshots","[t,x,y] plus tagged output-record index i","row scan or space-filling scan; largest uniform rectangle beginning at a scan locus","finite 2D array with potentially overlapping candidate rectangles","array edge and the configured scan convention","ref/A-New-Kind-of-Science/BACK-MATTER/NOTES/10-Processes-of-Perception-and-Analysis-Notes/10-Processes-of-Perception-and-Analysis-Notes.md:L171-L175","The Book explicitly calls this 2D run-length encoding and defines uniform rectangles under a scan.","Unlike 1D runs, maximal rectangles can overlap; the source supplies no dimension-independent tie law."
"B027","SPF012","media","maximal-run-record-transduction","look-and-say feedback over an ordered sequence","variant","shown","discrete generation t; the complete encoded list at t becomes the immutable input at t+1","[t,i]","ordered maximal runs and generation feedback","variable-length sequence at every generation","finite sequence ends","ref/A-New-Kind-of-Science/BACK-MATTER/NOTES/04-Systems-Based-on-Numbers-Notes/04-Systems-Based-on-Numbers-Notes.md:L193-L202","The run-length list is repeatedly replaced by length-symbol records, so explicit time and changing 1D support are native.","The later substitution-system description is an analysis of the sequence, not a new Space for the run transducer."
"B027","SPF012","media","maximal-run-record-transduction","two-dimensional image flattened row-by-row before 1D run encoding","encoding","shown","discrete codec time over a flattened sequence","[t,i] after a bijection from image positions to i","row-major flattening order","1D serialized image","row boundaries are encoding metadata","ref/A-New-Kind-of-Science/CHAPTERS/10-Processes-of-Perception-and-Analysis/10-Processes-of-Perception-and-Analysis.md:L183-L187","The Book explicitly places successive image rows end to end before run-length encoding.","This does not establish native [t,x,y] mechanics; the separate rectangle method does."
"B027","SPF012","media","maximal-run-record-transduction","three- and higher-dimensional maximal-region encoding","unknown","unresolved","would require discrete scan time over t+dD","[t,x1,...,xd]","would require a canonical maximal-region, overlap, and tie relation","unknown","unknown","ref/A-New-Kind-of-Science/BACK-MATTER/NOTES/10-Processes-of-Perception-and-Analysis-Notes/10-Processes-of-Perception-and-Analysis-Notes.md:L171-L175","The Book establishes 1D runs and one particular 2D rectangle scan only.","No source fixes the region grammar needed for d greater than 2."
"B028","SPF054","media","weighted-prefix-block-transduction","ordered block stream plus prefix-tree Space","native","shown","discrete build and transduction time t; every slice preserves input, code tree, and completed output prefix","[t,tag,address], with input block index i, output bit index j, and prefix-tree path p","input order; tree parent-child relation; leaf-to-block code relation","finite input, finite code tree, variable-length output stream","input and output ends; prefix-free leaf boundary","ref/A-New-Kind-of-Science/CHAPTERS/10-Processes-of-Perception-and-Analysis/10-Processes-of-Perception-and-Analysis.md:L189-L205;ref/A-New-Kind-of-Science/BACK-MATTER/NOTES/10-Processes-of-Perception-and-Analysis-Notes/10-Processes-of-Perception-and-Analysis-Notes.md:L87-L106","Fixed input blocks receive separately decodable codewords represented by leaves of a weighted prefix tree.","Tree depth is a relation/path coordinate, not an extra Cartesian image dimension."
"B028","SPF054","media","weighted-prefix-block-transduction","two-dimensional fixed-block input with one-dimensional prefix output","variant","stated","discrete immutable codec stages","[t,x,y] for input plus tagged output index j and prefix-tree path p","fixed 2D block partition and prefix-tree code relation","finite 2D input; finite tree; variable-length 1D output","array edge must align with a declared block policy","ref/A-New-Kind-of-Science/CHAPTERS/10-Processes-of-Perception-and-Analysis/10-Processes-of-Perception-and-Analysis.md:L231-L249","The Book explicitly extends block-based Huffman encoding from 1D blocks to 2D blocks.","The output remains an ordered code stream rather than a 2D array."
"B028","SPF054","media","weighted-prefix-block-transduction","fixed blocks over any finite Cartesian dimension d>=1","variant","proved","discrete immutable codec stages","[t,x1,...,xd] for input, together with output-stream and prefix-tree coordinates","a fixed finite dD partition maps each block to one block symbol; the same frequency count and prefix-tree construction then applies unchanged","finite discrete dD array with a total enumeration of blocks","configured block treatment at each coordinate-axis edge","ref/A-New-Kind-of-Science/CHAPTERS/10-Processes-of-Perception-and-Analysis/10-Processes-of-Perception-and-Analysis.md:L189-L205,L231-L249;ref/A-New-Kind-of-Science/BACK-MATTER/NOTES/10-Processes-of-Perception-and-Analysis-Notes/10-Processes-of-Perception-and-Analysis-Notes.md:L87-L108","After partitioning, Huffman mechanics sees only a finite ordered sequence of block types; replacing a 1D block by a dD block changes neither weighting, tree construction, prefix decoding, nor output writes.","The proof requires a finite discrete array, fixed nonoverlapping block partition, total block order, and explicit edge policy; it does not cover continuous or irregular domains."
"B029","SPF056","media","history-reference-record-transduction","one-dimensional history-pointer transduction","native","shown","discrete scan time t; every t+1 slice preserves input, consumed history, dictionary, and completed output","[t,tag,address], with input/output index i and dictionary or record address d","total order, prior-span relation, pointer offset, and record boundaries","finite ordered input; growing dictionary and variable output","sequence ends and configured minimum match length","ref/A-New-Kind-of-Science/CHAPTERS/10-Processes-of-Perception-and-Analysis/10-Processes-of-Perception-and-Analysis.md:L209-L223;ref/A-New-Kind-of-Science/BACK-MATTER/NOTES/10-Processes-of-Perception-and-Analysis-Notes/10-Processes-of-Perception-and-Analysis-Notes.md:L123-L153","Each record is literal data or a pointer to an earlier ordered span; eligibility depends on retained history.","Pointers and dictionary entries are addressable structure, not attributes of one source cell."
"B029","SPF056","media","history-reference-record-transduction","direct two-dimensional repeated-region pointers","variant","shown","discrete 2D scan time with immutable input and accumulated records","[t,x,y] plus tagged record and prior-region addresses","scan order, congruent-rectangle relation, and backward reference to a prior region","finite 2D array; records may describe overlapping regions","array edge and the source's right-and-down rectangle convention","ref/A-New-Kind-of-Science/CHAPTERS/10-Processes-of-Perception-and-Analysis/10-Processes-of-Perception-and-Analysis.md:L253-L267","The Book explicitly scans 2D data for repeated 2D regions and records pointers to prior rectangles.","The source fixes this 2D rectangle scheme only."
"B029","SPF056","media","history-reference-record-transduction","two-dimensional data serialized before one-dimensional pointer encoding","encoding","shown","discrete 1D scan time after flattening","[t,i]","row-major serialization and prior-substring pointers","1D serialization of a finite image","row boundaries are encoding metadata","ref/A-New-Kind-of-Science/CHAPTERS/10-Processes-of-Perception-and-Analysis/10-Processes-of-Perception-and-Analysis.md:L225-L229","The Book explicitly contrasts row-flattened 1D pointer encoding with direct 2D region encoding.","The flattened form must not be counted as native t+2D."
"B029","SPF056","media","history-reference-record-transduction","three- and higher-dimensional repeated-region pointers","unknown","unresolved","would require discrete t+dD scanning","[t,x1,...,xd] plus record coordinates","would require a sourced region grammar, scan, overlap rule, and tie law","unknown","unknown","ref/A-New-Kind-of-Science/CHAPTERS/10-Processes-of-Perception-and-Analysis/10-Processes-of-Perception-and-Analysis.md:L253-L267","A hyperrectangle extension is plausible but not established by the Book.","The 2D selection rule does not by itself prove an unchanged higher-dimensional mechanic."
"B030","SPF057","media","recursive-uniform-region-decomposition","one-dimensional binary interval-subdivision Space","native","stated","discrete recursion depth or work time t; each t+1 slice retains the input and adds complete child-region records","[t,region-path] with leaves referring to 1D input intervals","binary parent-child containment and interval extent","finite 1D array and a growing finite decomposition tree","input endpoints and minimum interval size","ref/A-New-Kind-of-Science/BACK-MATTER/NOTES/10-Processes-of-Perception-and-Analysis-Notes/10-Processes-of-Perception-and-Analysis-Notes.md:L154-L160","The Book gives an explicit 1D subdivision algorithm, making this the minimal spatial rank.","The region tree is structural Space; it is not a second Cartesian input axis."
"B030","SPF057","media","recursive-uniform-region-decomposition","two-dimensional quadtree image decomposition","variant","shown","discrete recursion depth or work time t with immutable complete trees","[t,region-path] with leaves referring to [x,y] image regions","four-child containment relation and uniformity predicate","finite 2D image and growing quadtree support","image edge and configured minimum square size","ref/A-New-Kind-of-Science/CHAPTERS/10-Processes-of-Perception-and-Analysis/10-Processes-of-Perception-and-Analysis.md:L231-L239,L269-L279","Each square is a leaf if uniform or is replaced by four child squares.","The tree is native; a flat list of leaf records is only a serialization."
"B030","SPF057","media","recursive-uniform-region-decomposition","n-dimensional recursive array subdivision","variant","stated","discrete recursion depth or work time t","[t,region-path] with leaves referring to [x1,...,xn] regions","2^n-child containment relation and nD uniformity predicate","finite nD arrays and finite decomposition trees","axis-aligned array edges and a finite cutoff","ref/A-New-Kind-of-Science/BACK-MATTER/NOTES/10-Processes-of-Perception-and-Analysis-Notes/10-Processes-of-Perception-and-Analysis-Notes.md:L154-L168","The Notes explicitly provide a separate implementation for n dimensions.","This is finite discrete dyadic subdivision; it does not establish continuous, nonrectangular, or arbitrary-graph regions."
"B030","SPF057","media","recursive-uniform-region-decomposition","continuous or irregular-region hierarchy","unknown","unresolved","would require explicit recursive work time","generic region IDs","would require a sourced split and coverage relation outside rectangular arrays","unknown","unknown","ref/A-New-Kind-of-Science/BACK-MATTER/NOTES/10-Processes-of-Perception-and-Analysis-Notes/10-Processes-of-Perception-and-Analysis-Notes.md:L154-L168","The source implementation depends on array dimensions and equal partitions.","No Book evidence here supplies a corresponding irregular-domain split law."
"B031","SPF058","media","orthogonal-basis-coefficient-transform","one-dimensional finite sample and coefficient spaces","native","stated","one-shot stages t in {0,1}; the output is a complete immutable coefficient assignment","[t,tag,i], with tag in {sample,coefficient}","global inner-product relation between every sample and basis vector","fixed finite input and coefficient supports of equal dimension before truncation","finite block endpoints; basis supplies the effective transform boundary","ref/A-New-Kind-of-Science/BACK-MATTER/NOTES/10-Processes-of-Perception-and-Analysis-Notes/10-Processes-of-Perception-and-Analysis-Notes.md:L181-L187","The Notes define 1D basic forms as vectors and compute every weight by an inner product.","Coefficient index is an independently addressed output coordinate, not an Alphabet component at one input point."
"B031","SPF058","media","orthogonal-basis-coefficient-transform","two-dimensional image and basis spaces","variant","shown","one-shot immutable input, coefficient, and optional reconstruction stages","[t,tag,x,y], with tag selecting sample, basis-form, coefficient, or reconstruction","2D orthogonality and global projection","fixed finite 2D blocks; selected coefficient support may shrink","image-block edge","ref/A-New-Kind-of-Science/CHAPTERS/10-Processes-of-Perception-and-Analysis/10-Processes-of-Perception-and-Analysis.md:L281-L305;ref/A-New-Kind-of-Science/BACK-MATTER/NOTES/10-Processes-of-Perception-and-Analysis-Notes/10-Processes-of-Perception-and-Analysis-Notes.md:L181-L185","The Book directly constructs images from 2D Walsh forms and derives their weights by projection.","Flattening a 2D transform to matrix multiplication is an implementation equivalence, not evidence that the native image Space is 1D."
"B031","SPF058","media","orthogonal-basis-coefficient-transform","continuous one-dimensional function Space","variant","stated","one-shot relation over an immutable continuous coordinate domain","[t,x] for x in [0,1], plus a discrete or continuous basis-index coordinate","integral inner product and orthogonality under the chosen measure","continuous function domain and corresponding coefficient support","integration interval and convergence conditions","ref/A-New-Kind-of-Science/BACK-MATTER/NOTES/10-Processes-of-Perception-and-Analysis-Notes/10-Processes-of-Perception-and-Analysis-Notes.md:L181-L185","The Notes explicitly give continuous basis functions and integral orthogonality.","This does not admit arbitrary continuous bases without completeness and convergence."
"B031","SPF058","media","orthogonal-basis-coefficient-transform","arbitrary finite addressed sample set with a complete orthogonal basis","variant","proved","one-shot immutable projection and optional inverse","[t,tag,s], where s ranges over any finite sample set S or its basis index set","complete orthogonal matrix between S and the coefficient index set","fixed finite support |S|","none beyond the declared finite domain","ref/A-New-Kind-of-Science/BACK-MATTER/NOTES/10-Processes-of-Perception-and-Analysis-Notes/10-Processes-of-Perception-and-Analysis-Notes.md:L181-L185,L227-L234","Projection uses only the finite inner product and a complete orthogonal basis. Relabeling S or taking tensor products changes neither coefficient computation nor inversion, proving all finite Cartesian ranks and finite nongeometric index sets.","The proof requires a complete basis and fixed finite support; lossy retention changes coefficient support but not Space admissibility."
"B032","SPF041","media","probabilistic-transition-model-fitting","finite-state sequence model with fixed transition topology","native","shown","outer fit stage is one-shot; generated paths have explicit discrete process time tau","[stage,tag,address], with observation index tau and model-edge address e","fixed finite transition graph, path order, and edge probabilities","finite observations and fixed finite model topology; generated path may be unbounded","sequence start and any declared terminal state","ref/A-New-Kind-of-Science/CHAPTERS/10-Processes-of-Perception-and-Analysis/10-Processes-of-Perception-and-Analysis.md:L441-L459;ref/A-New-Kind-of-Science/BACK-MATTER/NOTES/10-Processes-of-Perception-and-Analysis-Notes/10-Processes-of-Perception-and-Analysis-Notes.md:L493-L501","The Book fits block, Markov, and hidden-Markov sequence probabilities while keeping the model graph fixed.","States are path values and model nodes; memory length does not create a spatial axis."
"B032","SPF041","media","probabilistic-transition-model-fitting","one-dimensional probabilistic cellular-automaton history","variant","shown","discrete CA time t; every generated step is a complete immutable t+1 row sampled from the old row","[t,x] plus finite neighborhood-probability table addresses","spatial nearest-neighbor relation and conditional output distribution","fixed 1D lattice history","the chosen CA boundary, not specified in the passage","ref/A-New-Kind-of-Science/CHAPTERS/10-Processes-of-Perception-and-Analysis/10-Processes-of-Perception-and-Analysis.md:L461-L477","The Book fits output-color probabilities to observed local spacetime neighborhoods of a 1D probabilistic CA.","The passage calls the complete history two-dimensional data, but native Space is t+1D rather than t+2D spatial."
"B032","SPF041","media","probabilistic-transition-model-fitting","local probabilistic fitting on any fixed locally finite Space D","variant","proved","discrete t; generated t+1 slices are complete immutable assignments on D","[t,p] for p in D, plus finite conditional-table addresses","a fixed finite neighborhood N(p) and a fixed topology relation on D","fixed D during fitting and generation","must be supplied with D and N","ref/A-New-Kind-of-Science/CHAPTERS/10-Processes-of-Perception-and-Analysis/10-Processes-of-Perception-and-Analysis.md:L461-L467","For each neighborhood pattern, fitting only counts output colors below occurrences of that pattern. This counting and subsequent local sampling are unchanged when a 1D neighborhood is replaced by any finite neighborhood on a fixed coordinate relation, proving t+dD and fixed-graph variants.","The proof requires finite Alphabet, finite neighborhoods, and fixed topology; it does not learn topology or handle genuinely nonlocal dependencies."
"B032","SPF041","media","probabilistic-transition-model-fitting","learned or changing model topology","excluded","stated","would require topology-changing fit stages","model node and edge support would change","dynamic topology relation","dynamic model support","unknown","ref/A-New-Kind-of-Science/CHAPTERS/10-Processes-of-Perception-and-Analysis/10-Processes-of-Perception-and-Analysis.md:L453-L467;ref/A-New-Kind-of-Science/BACK-MATTER/NOTES/10-Processes-of-Perception-and-Analysis-Notes/10-Processes-of-Perception-and-Analysis-Notes.md:L500-L501","The source explicitly conditions easy fitting on keeping the network structure or neighborhood form fixed.","Topology learning is outside the proved envelope."
"B033","SPF042","criteria","program-randomization-test","observed and surrogate one-dimensional sequence ensemble","native","shown","discrete evaluation stage t; every replicate retains a complete immutable input and program-result record","[t,r,i], with r=0 for observed data and r>0 for surrogate samples","sequence order, replicate membership, and common-program application relation","one observed sequence plus a finite sampled surrogate ensemble","finite sequence ends and selected replicate count","ref/A-New-Kind-of-Science/CHAPTERS/10-Processes-of-Perception-and-Analysis/10-Processes-of-Perception-and-Analysis.md:L515-L533","The same process is applied to the observed sequence and sampled possible sequences, then their results are compared.","The cellular-automaton spacetime drawn as a statistic is the closed program's internal Space, not another axis of the test dataset."
"B033","SPF042","criteria","program-randomization-test","wrapper over any common finite data Space D","variant","proved","discrete evaluation stages with immutable observed and surrogate branches","[t,r,p] for p in D","all replicates share exactly the same closed program, statistic, and comparison law","finite D and finite sampled replicate support","inherited from D and the surrogate law","ref/A-New-Kind-of-Science/CHAPTERS/10-Processes-of-Perception-and-Analysis/10-Processes-of-Perception-and-Analysis.md:L515-L523","The wrapper never inspects sequence adjacency: it applies one closed process to one observed datum and to samples from the same datum space. Replacing the finite sequence domain by any finite D accepted by both the program and surrogate law leaves the test-and-rank mechanic unchanged.","This is parametric inheritance, not evidence that every program supports every D; both closed program and surrogate law must already share D."
"B033","SPF042","criteria","program-randomization-test","continuous or infinite unenumerated datum Space without a supplied measure","unknown","unresolved","would require explicit sampling time and measure","generic [t,r,p]","would require a probability measure and replayable sampler","unknown","unknown","ref/A-New-Kind-of-Science/CHAPTERS/10-Processes-of-Perception-and-Analysis/10-Processes-of-Perception-and-Analysis.md:L517-L521","The Book replaces exhaustive comparison by a finite sample when full analysis is infeasible.","No canonical measure or sampling law is supplied for an arbitrary continuous or infinite Space."
"B034","SPF060","media","aligned-xor-stream-transduction","one-dimensional aligned binary streams","native","shown","discrete transform time t; t+1 contains the complete immutable XOR output while preserving both source streams","[t,stream,i], with stream in {message,key,output}","one-to-one alignment at equal i","equal finite or countable ordered supports","both streams must cover the same positions","ref/A-New-Kind-of-Science/CHAPTERS/10-Processes-of-Perception-and-Analysis/10-Processes-of-Perception-and-Analysis.md:L539-L565,L599-L605","Every output bit depends only on the two aligned input bits, and the same operation decrypts.","Key-generation state is separate from the pointwise transduction Space."
"B034","SPF060","media","aligned-xor-stream-transduction","pointwise XOR over any common coordinate set D","variant","proved","one-shot or discrete t; the output is one complete immutable assignment on D","[t,stream,p] for p in D","a total alignment bijection identifies the message and key coordinate p","identical finite or countable supports for both streams","total alignment; no missing key coordinates","ref/A-New-Kind-of-Science/CHAPTERS/10-Processes-of-Perception-and-Analysis/10-Processes-of-Perception-and-Analysis.md:L539-L551","The rule output(p)=message(p) XOR key(p) has no dependence on order, adjacency, or dimension. Reindexing both inputs by any common D proves t+2D, t+3D, fixed-graph, and other pointwise variants.","The proof is for binary XOR with a total one-to-one alignment; it says nothing about key generation or nonbinary operations."
"B034","SPF060","media","aligned-xor-stream-transduction","cellular-automaton spacetime used to generate the key stream","encoding","shown","generator has its own inner [tau,x] history; sampled output is aligned along message index i","[tau,x] internally, then [i] after sampling a column","CA neighborhood and sampling relation","fixed-width CA history plus sampled 1D stream","CA boundary and sampling schedule","ref/A-New-Kind-of-Science/CHAPTERS/10-Processes-of-Perception-and-Analysis/10-Processes-of-Perception-and-Analysis.md:L563-L565,L599-L605","The Book generates an encrypting sequence by sampling a CA column.","The generator's t+1D Space must not be attributed to the XOR transform itself."
"B035","SPF024","criteria","inverse-local-system-reconstruction","one-dimensional cellular-automaton spacetime reconstruction","native","shown","target CA time t is explicit; reconstruction is a one-shot relation over complete candidate histories and preserves observations","[t,x]","local predecessor constraints induced by the CA rule","finite observed window with unknown predecessor or exterior cells; solution set may branch","known rows, columns, and finite-width register edges","ref/A-New-Kind-of-Science/CHAPTERS/10-Processes-of-Perception-and-Analysis/10-Processes-of-Perception-and-Analysis.md:L575-L633;ref/A-New-Kind-of-Science/BACK-MATTER/NOTES/10-Processes-of-Perception-and-Analysis-Notes/10-Processes-of-Perception-and-Analysis-Notes.md:L531-L544,L608-L624","Rows, columns, and partial columns are constraints on one t+1D CA history; candidate predecessors are complete assignments satisfying them.","Branch count is result cardinality, not another Space axis."
"B035","SPF024","criteria","inverse-local-system-reconstruction","sideways and incomplete-observation reconstruction on the same t+1D Space","variant","shown","target t remains explicit; the solver may traverse x rather than t","[t,x]","the same local rule is solved with a column or sparse observation set treated as boundary data","partially known spacetime region","arbitrary known-cell mask and required exterior values","ref/A-New-Kind-of-Science/CHAPTERS/10-Processes-of-Perception-and-Analysis/10-Processes-of-Perception-and-Analysis.md:L577-L633","Sideways evolution changes which boundary is known, not the coordinate rank.","No new x-as-time Space should be inferred from the algorithm's traversal direction."
